mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
4.037,,0.786,0,0,451,+12,6.69,777,21.2,confirmed,A,3,,,399.99,,,,359.99,68.77,359.99,198.25,107.62,,,67.62,40.02,,10.29,37.55,428.32,,,,211.81,104.19,335.86,180.39,76.06,,,32.2,68.94,,21.22,16.5
3.821,,0.053,1,2,456,+0,6.1,777,13.0,confirmed,A,4,,Wx>0.9P;Wy>0.9P,318.75,,,,163.77,286.88,285.15,126.9,78.13,,,60.17,33.32,,5.59,30.85,390.19,,,,50.0,370.91,387.38,88.85,68.84,,,48.44,52.71,,13.01,7.75
4.631,,0.117,3,2,482,+0,8.42,777,6.7,confirmed,A,5,,Wx>0.9P;Wy>0.9P,314.96,,,,283.46,283.46,283.46,46.78,183.89,,,42.55,38.88,,11.91,28.76,538.76,,,,50.54,509.95,533.9,141.94,91.19,,,54.79,73.15,,6.66,0.0
3.963,,0.391,2,0,24,-28,9.38,777,19.3,confirmed,A,6,,,596.46,,,,427.15,458.99,420.56,146.51,196.18,,,32.26,77.03,,24.32,38.28,600.0,,,,289.99,539.88,384.21,142.71,147.39,,,42.72,22.61,,19.29,39.59
4.732,,0.479,0,0,16,+4,8.34,777,18.9,confirmed,A,7,,,549.59,,,,180.9,156.1,494.63,144.92,173.68,,,17.95,12.03,,24.3,5.3,533.84,,,,304.9,227.91,185.42,155.81,167.92,,,30.53,59.63,,18.87,31.45
6.105,,0.333,1,0,289,-20,6.95,777,10.0,pretender,A,8,,,399.28,,,,359.35,264.22,239.02,97.24,173.98,,,51.57,39.1,,28.99,1.04,444.86,,,,301.63,373.66,274.73,89.02,115.05,,,29.5,10.0,,24.29,34.77
6.629,,0.466,3,2,327,-24,5.61,777,9.8,pretender,A,9,,Wx>0.9P;W2>0.9P,300.36,,,,270.33,270.33,152.98,94.85,138.22,,,55.19,68.87,,20.27,38.84,359.22,,,,495.79,325.9,249.47,198.06,66.89,,,12.96,80.0,,9.77,20.0
11.168,,0.643,1,0,101,+186,9.38,777,24.7,pretender,A,10,,,598.1,,,,538.29,53.47,398.81,52.56,54.12,,,32.65,13.49,,26.53,6.61,600.0,,,,301.8,349.16,376.11,52.8,64.35,,,45.4,27.53,,24.65,39.85
7.439,,0.678,1,0,249,+44,7.14,777,12.2,pretender,A,11,,,492.18,,,,106.65,58.06,330.85,155.45,44.08,,,47.62,53.6,,6.17,7.12,456.98,,,,65.81,171.18,194.55,145.34,49.77,,,58.06,32.48,,12.15,26.32
6.628,,0.253,2,0,25,+40,8.88,777,14.6,pretender,A,12,,,487.99,,,,144.99,439.19,257.31,41.43,38.65,,,13.47,22.48,,14.24,8.0,568.43,,,,360.33,415.8,186.17,54.3,42.26,,,14.56,80.0,,29.84,17.39
2.576,,0.745,2,0,37,-4,6.44,777,30.0,confirmed,A,13,,,564.76,,,,370.3,508.18,150.91,150.1,80.18,,,41.28,32.53,,20.31,27.92,412.14,,,,200.47,146.03,192.88,165.5,200.0,,,42.79,75.77,,30.0,33.73
1.968,,0.142,0,0,481,-12,7.52,777,13.8,confirmed,A,14,,,409.38,,,,368.44,175.76,368.44,68.9,91.68,,,20.01,23.8,,12.9,41.53,481.45,,,,428.8,224.98,407.26,50.6,90.4,,,13.83,19.03,,18.34,40.98
9.733,,0.688,1,0,246,-283,4.7,777,15.2,pretender,A,15,,,461.95,,,,57.79,265.89,415.76,180.63,105.93,,,37.09,45.01,,28.22,11.87,300.84,,,,244.86,100.09,248.24,177.52,107.62,,,54.8,64.31,,15.19,23.24
4.394,,0.162,1,0,43,+44,8.12,777,5.6,confirmed,A,16,,,358.95,,,,188.05,323.05,304.96,76.06,98.39,,,16.57,62.58,,19.72,15.89,519.57,,,,385.71,278.42,411.48,100.42,67.67,,,37.77,34.7,,5.56,34.1
7.361,,0.514,1,0,333,+48,7.58,777,21.3,pretender,A,17,,,491.81,,,,442.63,152.16,367.37,96.21,183.2,,,34.3,16.6,,27.16,14.41,485.16,,,,97.28,149.15,347.82,110.61,98.59,,,80.0,65.03,,21.31,23.69
5.321,,1.484,3,0,312,-81,8.29,777,16.8,pretender,A,18,,,463.01,,,,341.54,416.71,258.22,195.69,170.91,,,63.78,15.24,,24.74,41.92,530.68,,,,280.5,351.13,50.0,194.32,135.98,,,62.74,39.78,,16.75,0.0
